,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,^VIX,^VIX,^VIX,^VIX,^VIX,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^TNX,^TNX,^TNX,^TNX,^TNX,^TYX,^TYX,^TYX,^TYX,^TYX,^FVX,^FVX,^FVX,^FVX,^FVX,^N225,^N225,^N225,^N225,^N225,^HSI,^HSI,^HSI,^HSI,^HSI,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26457.51953125,26486.2109375,26288.970703125,26343.220703125,0.0,,,,,,,,,,
2022-02-28 00:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26338.939453125,26357.169921875,26262.630859375,26320.279296875,0.0,,,,,,,,,,
2022-02-28 00:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26319.939453125,26384.880859375,26316.859375,26361.689453125,0.0,,,,,,,,,,
2022-02-28 00:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26363.7109375,26409.5,26361.23046875,26395.560546875,0.0,,,,,,,,,,
2022-02-28 01:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26400.16015625,26610.330078125,26396.689453125,26609.869140625,0.0,,,,,,,,,,
2022-02-28 01:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26608.830078125,26644.560546875,26534.9296875,26582.0390625,0.0,,,,,,,,,,
2022-02-28 01:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26586.130859375,26608.220703125,26440.259765625,26488.880859375,0.0,22818.169921875,22818.169921875,22487.119140625,22513.169921875,0.0,,,,,
2022-02-28 01:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26490.25,26506.08984375,26420.26953125,26420.26953125,0.0,22512.470703125,22611.30078125,22496.740234375,22576.439453125,0.0,,,,,
